Monument_Name,State_UT,Heritage_Status,ASI_ID,Latitude,Longitude,Open_Images_Count,ThreeD_Scan_Mesh_Source,Recognition_Dataset_Support,Pretrained_Vision_Support,Authoritative_RAG_Source,Multilingual_Support,OSM_Boundary_Footways,MVP_Readiness_Score_10,Pilot_Recommendation
City Palace (Udaipur),Rajasthan,Private Trust Heritage,MMCF Trust,24.5764,73.6835,4600+,Lake Pichola Façade Sketchfab CC,GLDv2,"DINOv2, SigLIP, CLIP",Maharana of Mewar Charitable Trust,"HI, EN, +10 Indic",Complete (Courtyards & gates),9,Rajasthan Circuit
"Sun Temple, Modhera",Gujarat,ASI Protected,N-GJ-M1,23.5835,72.1331,1500+,Surya Kund Stepwell Sketchfab CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Vadodara Circle,"GU, HI, EN, +10 Indic",Complete (Kund steps & Sabha Mandap),8,Western Circuit
Champaner-Pavagadh,Gujarat,UNESCO World Heritage,N-GJ-P2,22.4833,73.5333,1200+,Jama Masjid Minarets Sketchfab CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Vadodara Circle + UNESCO,"GU, HI, EN, +10 Indic",Complete (Citadel wall & mosque),8,Western Circuit
Gwalior Fort,Madhya Pradesh,ASI Protected,N-MP-G1,26.2307,78.1696,2400+,Man Mandir Palace Blue Tile Façade CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Bhopal Circle,"HI, EN, +10 Indic",Complete (Hilltop fort plateau),8,Central Circuit
Chittorgarh Fort,Rajasthan,UNESCO (Hill Forts),N-RJ-C1,24.8879,74.6453,3700+,Vijay Stambha Tower of Fame CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Jaipur Circle + UNESCO Dossier,"HI, EN, +10 Indic",Complete (Massive mesa road graph),8,Rajasthan Circuit
Kumbhalgarh Fort,Rajasthan,UNESCO (Hill Forts),N-RJ-U1,25.1478,73.5872,2200+,Great Wall of India Ramparts CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Jaipur Circle + UNESCO Dossier,"HI, EN, +10 Indic",Complete (36km perimeter trail),8,Rajasthan Circuit
"Shore Temple, Mamallapuram",Tamil Nadu,UNESCO World Heritage,N-TN-C2,12.6167,80.1983,2800+,Shore Temple Granite Vimana CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Chennai Circle + UNESCO,"TA, HI, EN, +10 Indic",Complete (Bay of Bengal breakwater),9,Southern Circuit
Airavatesvara Temple (Darasuram),Tamil Nadu,UNESCO World Heritage,N-TN-T2,10.9483,79.3567,1100+,Chariot Mandapam Carvings CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Chennai Circle + UNESCO Chola,"TA, HI, EN, +10 Indic",Complete (Inner court & gopuram),8,Southern Circuit
Pattadakal Group of Monuments,Karnataka,UNESCO World Heritage,N-KA-B2,15.9486,75.8161,1900+,Virupaksha Chalukya Temple CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Dharwad Circle + UNESCO,"KN, HI, EN, +10 Indic",Complete (Malaprabha riverside),8,Karnataka Circuit
Badami Cave Temples,Karnataka,ASI Protected,N-KA-B3,15.9186,75.6828,2400+,Cave 1 Nataraja Carvings CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Dharwad Circle,"KN, HI, EN, +10 Indic",Complete (Agastya lake cliffs),8,Karnataka Circuit
Aihole Temple Complex,Karnataka,ASI Protected,N-KA-B4,16.0219,75.8822,1600+,Durga Temple Horseshoe Apsidal CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Dharwad Circle,"KN, HI, EN, +10 Indic",Complete (Village cluster boundaries),8,Karnataka Circuit
Nalanda Mahavihara (Ruins),Bihar,UNESCO World Heritage,N-BR-N1,25.1357,85.4439,2100+,Monastery Stupa Site 3 CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Patna Circle + UNESCO Dossier,"HI, EN, +10 Indic",Complete (Excavated brick grid),8,Buddhist Circuit
Mahabodhi Temple Complex,Bihar,UNESCO World Heritage,N-BR-G1,24.6960,84.9914,3500+,Central Pyramidal Spire CC,GLDv2,"DINOv2, SigLIP, CLIP",Bodhgaya Temple Mgmt Committee + UNESCO,"HI, EN, +10 Indic",Complete (Bodhi tree & parikrama),9,Buddhist Circuit
Basilica of Bom Jesus (Old Goa),Goa,UNESCO World Heritage,N-GA-1,15.5008,73.9116,3200+,Baroque Basalt Façade CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Goa Circle + UNESCO,"KO, HI, EN, +10 Indic",Complete (Church grounds),9,Goa Circuit
Se Cathedral (Old Goa),Goa,UNESCO World Heritage,N-GA-2,15.5036,73.9122,2600+,Tuscan Exterior & Golden Bell CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Goa Circle + UNESCO,"KO, HI, EN, +10 Indic",Complete (Opposite Bom Jesus),9,Goa Circuit
Jaisalmer Fort (Sonar Qila),Rajasthan,UNESCO (Hill Forts),N-RJ-J1,26.9124,70.9127,4300+,Yellow Sandstone Bastions CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Jaipur Circle + UNESCO Dossier,"HI, EN, +10 Indic",Complete (Living fort street maze),8,Rajasthan Circuit
Mehrangarh Fort (Jodhpur),Rajasthan,Private Trust Heritage,MMF Trust,26.2978,73.0185,5400+,Imposing Cliff Ramparts CC,GLDv2,"DINOv2, SigLIP, CLIP",Mehrangarh Museum Trust Official,"HI, EN, +10 Indic",Complete (Elevated pathway & gates),9,Rajasthan Circuit
Safdarjung Tomb,Delhi,ASI Protected,N-DL-4,28.5893,77.2106,2300+,Late Mughal Charbagh CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Delhi Circle,"HI, EN, UR, +10 Indic",Complete (Charbagh garden walls),9,Delhi Pilot (P0)
Hauz Khas Complex,Delhi,ASI Protected,N-DL-5,28.5528,77.1944,3100+,Madrasa & Firoz Shah Tomb CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Delhi Circle,"HI, EN, UR, +10 Indic",Complete (Reservoir & ruins),9,Delhi Pilot (P0)
Purana Qila (Old Fort),Delhi,ASI Protected,N-DL-6,28.6094,77.2436,2900+,Qila-i-Kuhna Mosque & Sher Mandal CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Delhi Circle + Excavation Reports,"HI, EN, UR, +10 Indic",Complete (Ramparts & moat park),9,Delhi Pilot (P0)
Mehtab Bagh,Uttar Pradesh,ASI Protected,N-UP-A29,27.1799,78.0421,1400+,Moonlight Garden across Yamuna CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Agra Circle,"HI, EN, UR, +10 Indic",Complete (Opposite Taj Mahal axis),9,Agra Pilot
Itmad-ud-Daulah (Baby Taj),Uttar Pradesh,ASI Protected,N-UP-A30,27.1929,78.0310,2700+,Pietra Dura Inlay Marble Pavilion CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Agra Circle,"HI, EN, UR, +10 Indic",Complete (Riverside garden),9,Agra Pilot
Akbar Tomb (Sikandra),Uttar Pradesh,ASI Protected,N-UP-A31,27.2206,77.9505,2500+,Tiered Sandstone & Marble Gateway CC,GLDv2,"DINOv2, SigLIP, CLIP",ASI Agra Circle,"HI, EN, UR, +10 Indic",Complete (Deer park walled enclosure),9,Agra Pilot
"National Museum, Janpath",Delhi,Premier National Museum,Ministry of Culture,28.6118,77.2193,1500+ (Galleries),Smithsonian / Indian Culture Portal 3D Scans,Museum Object Benchmarks,"DINOv2, CLIP, SigLIP",National Museum New Delhi Curatorial Catalogs,"HI, EN, +10 Indic",Complete (Museum building & floorplan),10,Delhi Pilot (P0 - Museum MVP)
